DATE,NGSP,State,STATEFP,NGSP_r10
1997,100914.8,OR,41,0.614819797096575
1998,105146.8,OR,41,0.640603105207107
1999,107621.5,OR,41,0.655680126138377
2000,117154.6,OR,41,0.713760195738687
2001,116963.6,OR,41,0.712596535093812
2002,120665.5,OR,41,0.735150227980007
2003,126671.5,OR,41,0.771741567420426
2004,135646.8,OR,41,0.826423260540572
2005,143507.8,OR,41,0.874316120903732
2006,153593.1,OR,41,0.935760449185194
2007,159585.2,OR,41,0.972267103374494
2008,164925.4,OR,41,1.00480208021095
2009,159607.3,OR,41,0.972401746831309
2010,164137.2,OR,41,1
2011,170630.9,OR,41,1.03956263418652
2012,174611,OR,41,1.06381125058792
2013,179527.7,OR,41,1.09376606887409
2014,188120.7,OR,41,1.14611861296525
2015,200659.6,OR,41,1.22251141118528
2016,211305.9,OR,41,1.28737361183205
2017,222601.6,OR,41,1.3561922586714
2018,237113.7,OR,41,1.44460670707189
2019,247233.1,OR,41,1.50625878837948
2020,247966.7,OR,41,1.51072822005006
2021,272190.9,OR,41,1.65831328912641
1997,193825.9,WA,53,0.530306611968663
1998,209741.1,WA,53,0.573850512916904
1999,229797.9,WA,53,0.628725809019918
2000,237378.2,WA,53,0.6494654687388
2001,238418.6,WA,53,0.652311997500395
2002,245978.5,WA,53,0.672995842929834
2003,255370.2,WA,53,0.69869148323191
2004,268378.3,WA,53,0.734281574335058
2005,293676,WA,53,0.803495944435233
2006,314265.2,WA,53,0.859827884052927
2007,342024.2,WA,53,0.935776357614191
2008,354794.1,WA,53,0.970714734808253
2009,351245,WA,53,0.961004416442452
2010,365497.8,WA,53,1
2011,379574.9,WA,53,1.03851486930975
2012,400530.6,WA,53,1.09584955094121
2013,419092.4,WA,53,1.14663453514631
2014,440648,WA,53,1.20561053992664
2015,466689.7,WA,53,1.27686048999474
2016,487275.1,WA,53,1.33318203283303
2017,519409.6,WA,53,1.42110185068145
2018,564313.9,WA,53,1.54395977212448
2019,595231.8,WA,53,1.62855097896622
2020,612969.1,WA,53,1.67708013563967
2021,677489.5,WA,53,1.85360760037407
